who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
11845603,,,,,,,,,0
11845603,Papua New Guinea,Leader of the Opposition of Papua New Guinea,2014-12,2016,Q815326,Belden Namah,Q28966596,Sam Basil,1
11845603,Triumph Heritage Empowerment Party,Leader of Triumph Heritage Empowerment Party,2012,,,,,,2
11845603,Papua New Guinea,Deputy Prime Minister of Papua New Guinea,2010,2010,Q2117670,Puka Temu,Q58169,Sam Abal,3
11845603,"Members of the National Parliament of Papua New Guinea, 2012–2017",Member of National Parliament for Kandep Open,2009-11-09,,,Don Polye,,,4
11845603,Kandep District,Member of National Parliament for Kandep Open,2009-11-09,,,Don Polye,,,5
11845603,Papua New Guinea,Deputy Prime Minister of Papua New Guinea,2006,2007,Moi Avei,Moi Avei,Q2117670,Puka Temu,6
11845603,"Members of the National Parliament of Papua New Guinea, 2012–2017",Member of National Parliament for Kandep Open,2002,2009-08-14,Jimson Sauk,Jimson Sauk,,Don Polye,7
11845603,Kandep District,Member of National Parliament for Kandep Open,2002,2009-08-14,Jimson Sauk,Jimson Sauk,,Don Polye,8
