pageid,title,wikidata,label
11845603,Don Polye,Q1239419,Don Polye
13321722,James Marape,Q6138903,James Marape
27321959,Ano Pala,Q567469,Ano Pala
27955040,Patrick Nisira,Q7147332,Patrick Nisira
53073751,Bob Dadae,Q28647870,Bob Dadae
53945302,Timothy Masiu,Q29650223,Timothy Masiu
54739382,Ian Ling-Stuckey,Q5959129,Ian Ling-Stuckey
54789322,Walter Schnaubelt,Q35498105,Walter Schnaubelt
57775323,Bryan Jared Kramer,Q56043281,Bryan Jared Kramer
60898536,Richard Maru,Q64746863,Richard Maru
60982697,Soroi Eoe,Q64747295,Soroi Eoe
60990568,Pila Niningi,Q64495984,Pila Kole Niningi
62682014,John Rosso,Q80070005,John Rosso
65386084,Ishmael Toroama,Q99525723,Ishmael Toroama
70967168,Jelta Wong,Q89992188,Jelta Wong
71153236,Henry Amuli,Q112729047,Henry Amuli
71248519,Job Pomat,Q90000254,Job Pomat
